date,item,price,unit
2026-02-15,Fertilizer,2.46,CAD/kg
2026-02-15,Pesticide,14.17,CAD/L
2026-02-15,Energy,0.15,CAD/kWh
2026-02-15,Water,0.0025,CAD/L
2026-02-22,Fertilizer,1.79,CAD/kg
2026-02-22,Pesticide,12.6,CAD/L
2026-02-22,Energy,0.24,CAD/kWh
2026-02-22,Water,0.0034,CAD/L
2026-03-01,Fertilizer,1.87,CAD/kg
2026-03-01,Pesticide,13.94,CAD/L
2026-03-01,Energy,0.21,CAD/kWh
2026-03-01,Water,0.0038,CAD/L
2026-03-08,Fertilizer,2.05,CAD/kg
2026-03-08,Pesticide,14.5,CAD/L
2026-03-08,Energy,0.25,CAD/kWh
2026-03-08,Water,0.0028,CAD/L
2026-03-15,Fertilizer,2.2,CAD/kg
2026-03-15,Pesticide,12.34,CAD/L
2026-03-15,Energy,0.14,CAD/kWh
2026-03-15,Water,0.0034,CAD/L
2026-03-22,Fertilizer,2.21,CAD/kg
2026-03-22,Pesticide,14.58,CAD/L
2026-03-22,Energy,0.13,CAD/kWh
2026-03-22,Water,0.0031,CAD/L
2026-03-29,Fertilizer,2.19,CAD/kg
2026-03-29,Pesticide,13.79,CAD/L
2026-03-29,Energy,0.17,CAD/kWh
2026-03-29,Water,0.0021,CAD/L
2026-04-05,Fertilizer,1.92,CAD/kg
2026-04-05,Pesticide,13.02,CAD/L
2026-04-05,Energy,0.13,CAD/kWh
2026-04-05,Water,0.0033,CAD/L
2026-04-12,Fertilizer,1.6,CAD/kg
2026-04-12,Pesticide,14.26,CAD/L
2026-04-12,Energy,0.21,CAD/kWh
2026-04-12,Water,0.0027,CAD/L
2026-04-19,Fertilizer,2.15,CAD/kg
2026-04-19,Pesticide,18.0,CAD/L
2026-04-19,Energy,0.18,CAD/kWh
2026-04-19,Water,0.0023,CAD/L
2026-04-26,Fertilizer,2.08,CAD/kg
2026-04-26,Pesticide,12.76,CAD/L
2026-04-26,Energy,0.16,CAD/kWh
2026-04-26,Water,0.0031,CAD/L
2026-05-03,Fertilizer,1.78,CAD/kg
2026-05-03,Pesticide,14.98,CAD/L
2026-05-03,Energy,0.22,CAD/kWh
2026-05-03,Water,0.003,CAD/L
2026-05-10,Fertilizer,2.08,CAD/kg
2026-05-10,Pesticide,16.91,CAD/L
2026-05-10,Energy,0.2,CAD/kWh
2026-05-10,Water,0.0032,CAD/L
2026-05-17,Fertilizer,1.98,CAD/kg
2026-05-17,Pesticide,12.22,CAD/L
2026-05-17,Energy,0.14,CAD/kWh
2026-05-17,Water,0.004,CAD/L
2026-05-24,Fertilizer,2.51,CAD/kg
2026-05-24,Pesticide,16.7,CAD/L
2026-05-24,Energy,0.13,CAD/kWh
2026-05-24,Water,0.0024,CAD/L
2026-05-31,Fertilizer,1.66,CAD/kg
2026-05-31,Pesticide,14.68,CAD/L
2026-05-31,Energy,0.13,CAD/kWh
2026-05-31,Water,0.0027,CAD/L
2026-06-07,Fertilizer,2.2,CAD/kg
2026-06-07,Pesticide,15.17,CAD/L
2026-06-07,Energy,0.16,CAD/kWh
2026-06-07,Water,0.0026,CAD/L
2026-06-14,Fertilizer,1.91,CAD/kg
2026-06-14,Pesticide,11.48,CAD/L
2026-06-14,Energy,0.14,CAD/kWh
2026-06-14,Water,0.0028,CAD/L
2026-06-21,Fertilizer,1.67,CAD/kg
2026-06-21,Pesticide,12.66,CAD/L
2026-06-21,Energy,0.19,CAD/kWh
2026-06-21,Water,0.0026,CAD/L
2026-06-28,Fertilizer,1.74,CAD/kg
2026-06-28,Pesticide,13.44,CAD/L
2026-06-28,Energy,0.17,CAD/kWh
2026-06-28,Water,0.0024,CAD/L
2026-07-05,Fertilizer,2.22,CAD/kg
2026-07-05,Pesticide,14.03,CAD/L
2026-07-05,Energy,0.16,CAD/kWh
2026-07-05,Water,0.0033,CAD/L
2026-07-12,Fertilizer,2.44,CAD/kg
2026-07-12,Pesticide,14.52,CAD/L
2026-07-12,Energy,0.15,CAD/kWh
2026-07-12,Water,0.0032,CAD/L
2026-07-19,Fertilizer,1.95,CAD/kg
2026-07-19,Pesticide,12.2,CAD/L
2026-07-19,Energy,0.19,CAD/kWh
2026-07-19,Water,0.0027,CAD/L
2026-07-26,Fertilizer,1.77,CAD/kg
2026-07-26,Pesticide,14.53,CAD/L
2026-07-26,Energy,0.22,CAD/kWh
2026-07-26,Water,0.0024,CAD/L
2026-08-02,Fertilizer,2.1,CAD/kg
2026-08-02,Pesticide,15.0,CAD/L
2026-08-02,Energy,0.17,CAD/kWh
2026-08-02,Water,0.0032,CAD/L
2026-08-09,Fertilizer,2.25,CAD/kg
2026-08-09,Pesticide,14.3,CAD/L
2026-08-09,Energy,0.2,CAD/kWh
2026-08-09,Water,0.0024,CAD/L
2026-08-16,Fertilizer,1.67,CAD/kg
2026-08-16,Pesticide,15.96,CAD/L
2026-08-16,Energy,0.17,CAD/kWh
2026-08-16,Water,0.0029,CAD/L
2026-08-23,Fertilizer,2.08,CAD/kg
2026-08-23,Pesticide,15.83,CAD/L
2026-08-23,Energy,0.19,CAD/kWh
2026-08-23,Water,0.0029,CAD/L
2026-08-30,Fertilizer,1.99,CAD/kg
2026-08-30,Pesticide,14.97,CAD/L
2026-08-30,Energy,0.18,CAD/kWh
2026-08-30,Water,0.0023,CAD/L
2026-09-06,Fertilizer,1.84,CAD/kg
2026-09-06,Pesticide,17.35,CAD/L
2026-09-06,Energy,0.18,CAD/kWh
2026-09-06,Water,0.0023,CAD/L
2026-09-13,Fertilizer,2.46,CAD/kg
2026-09-13,Pesticide,13.85,CAD/L
2026-09-13,Energy,0.2,CAD/kWh
2026-09-13,Water,0.0025,CAD/L
2026-09-20,Fertilizer,2.14,CAD/kg
2026-09-20,Pesticide,15.46,CAD/L
2026-09-20,Energy,0.14,CAD/kWh
2026-09-20,Water,0.0025,CAD/L
2026-09-27,Fertilizer,1.98,CAD/kg
2026-09-27,Pesticide,16.05,CAD/L
2026-09-27,Energy,0.18,CAD/kWh
2026-09-27,Water,0.0026,CAD/L
2026-10-04,Fertilizer,2.01,CAD/kg
2026-10-04,Pesticide,13.15,CAD/L
2026-10-04,Energy,0.21,CAD/kWh
2026-10-04,Water,0.0023,CAD/L
2026-10-11,Fertilizer,1.97,CAD/kg
2026-10-11,Pesticide,14.78,CAD/L
2026-10-11,Energy,0.16,CAD/kWh
2026-10-11,Water,0.0023,CAD/L
2026-10-18,Fertilizer,2.37,CAD/kg
2026-10-18,Pesticide,15.96,CAD/L
2026-10-18,Energy,0.19,CAD/kWh
2026-10-18,Water,0.0026,CAD/L
2026-10-25,Fertilizer,2.08,CAD/kg
2026-10-25,Pesticide,13.97,CAD/L
2026-10-25,Energy,0.2,CAD/kWh
2026-10-25,Water,0.0019,CAD/L
2026-11-01,Fertilizer,1.89,CAD/kg
2026-11-01,Pesticide,14.21,CAD/L
2026-11-01,Energy,0.11,CAD/kWh
2026-11-01,Water,0.0031,CAD/L
2026-11-08,Fertilizer,2.17,CAD/kg
2026-11-08,Pesticide,14.04,CAD/L
2026-11-08,Energy,0.16,CAD/kWh
2026-11-08,Water,0.0038,CAD/L
2026-11-15,Fertilizer,1.86,CAD/kg
2026-11-15,Pesticide,16.36,CAD/L
2026-11-15,Energy,0.25,CAD/kWh
2026-11-15,Water,0.0029,CAD/L
2026-11-22,Fertilizer,1.8,CAD/kg
2026-11-22,Pesticide,16.23,CAD/L
2026-11-22,Energy,0.22,CAD/kWh
2026-11-22,Water,0.0033,CAD/L
2026-11-29,Fertilizer,1.79,CAD/kg
2026-11-29,Pesticide,14.2,CAD/L
2026-11-29,Energy,0.17,CAD/kWh
2026-11-29,Water,0.003,CAD/L
2026-12-06,Fertilizer,2.13,CAD/kg
2026-12-06,Pesticide,15.5,CAD/L
2026-12-06,Energy,0.23,CAD/kWh
2026-12-06,Water,0.0034,CAD/L
2026-12-13,Fertilizer,1.9,CAD/kg
2026-12-13,Pesticide,13.69,CAD/L
2026-12-13,Energy,0.19,CAD/kWh
2026-12-13,Water,0.0026,CAD/L
2026-12-20,Fertilizer,1.92,CAD/kg
2026-12-20,Pesticide,12.73,CAD/L
2026-12-20,Energy,0.22,CAD/kWh
2026-12-20,Water,0.0026,CAD/L
2026-12-27,Fertilizer,2.06,CAD/kg
2026-12-27,Pesticide,15.62,CAD/L
2026-12-27,Energy,0.22,CAD/kWh
2026-12-27,Water,0.0026,CAD/L
2027-01-03,Fertilizer,1.93,CAD/kg
2027-01-03,Pesticide,15.94,CAD/L
2027-01-03,Energy,0.16,CAD/kWh
2027-01-03,Water,0.0029,CAD/L
2027-01-10,Fertilizer,2.13,CAD/kg
2027-01-10,Pesticide,13.05,CAD/L
2027-01-10,Energy,0.17,CAD/kWh
2027-01-10,Water,0.003,CAD/L
2027-01-17,Fertilizer,1.8,CAD/kg
2027-01-17,Pesticide,11.92,CAD/L
2027-01-17,Energy,0.22,CAD/kWh
2027-01-17,Water,0.0031,CAD/L
2027-01-24,Fertilizer,1.67,CAD/kg
2027-01-24,Pesticide,16.61,CAD/L
2027-01-24,Energy,0.18,CAD/kWh
2027-01-24,Water,0.0033,CAD/L
2027-01-31,Fertilizer,2.11,CAD/kg
2027-01-31,Pesticide,12.16,CAD/L
2027-01-31,Energy,0.16,CAD/kWh
2027-01-31,Water,0.003,CAD/L
2027-02-07,Fertilizer,2.35,CAD/kg
2027-02-07,Pesticide,14.37,CAD/L
2027-02-07,Energy,0.21,CAD/kWh
2027-02-07,Water,0.0025,CAD/L
2027-02-14,Fertilizer,2.35,CAD/kg
2027-02-14,Pesticide,12.02,CAD/L
2027-02-14,Energy,0.19,CAD/kWh
2027-02-14,Water,0.0037,CAD/L
2027-02-21,Fertilizer,1.78,CAD/kg
2027-02-21,Pesticide,14.74,CAD/L
2027-02-21,Energy,0.17,CAD/kWh
2027-02-21,Water,0.0034,CAD/L
2027-02-28,Fertilizer,1.99,CAD/kg
2027-02-28,Pesticide,15.33,CAD/L
2027-02-28,Energy,0.19,CAD/kWh
2027-02-28,Water,0.0027,CAD/L
2027-03-07,Fertilizer,2.14,CAD/kg
2027-03-07,Pesticide,12.92,CAD/L
2027-03-07,Energy,0.13,CAD/kWh
2027-03-07,Water,0.0034,CAD/L
2027-03-14,Fertilizer,2.31,CAD/kg
2027-03-14,Pesticide,12.41,CAD/L
2027-03-14,Energy,0.17,CAD/kWh
2027-03-14,Water,0.0037,CAD/L
2027-03-21,Fertilizer,2.31,CAD/kg
2027-03-21,Pesticide,12.44,CAD/L
2027-03-21,Energy,0.16,CAD/kWh
2027-03-21,Water,0.0032,CAD/L
2027-03-28,Fertilizer,1.96,CAD/kg
2027-03-28,Pesticide,14.55,CAD/L
2027-03-28,Energy,0.2,CAD/kWh
2027-03-28,Water,0.0028,CAD/L
2027-04-04,Fertilizer,2.03,CAD/kg
2027-04-04,Pesticide,13.93,CAD/L
2027-04-04,Energy,0.11,CAD/kWh
2027-04-04,Water,0.0023,CAD/L
2027-04-11,Fertilizer,2.01,CAD/kg
2027-04-11,Pesticide,17.28,CAD/L
2027-04-11,Energy,0.16,CAD/kWh
2027-04-11,Water,0.0025,CAD/L
2027-04-18,Fertilizer,1.95,CAD/kg
2027-04-18,Pesticide,16.5,CAD/L
2027-04-18,Energy,0.21,CAD/kWh
2027-04-18,Water,0.002,CAD/L
2027-04-25,Fertilizer,2.04,CAD/kg
2027-04-25,Pesticide,15.86,CAD/L
2027-04-25,Energy,0.19,CAD/kWh
2027-04-25,Water,0.0024,CAD/L
2027-05-02,Fertilizer,2.08,CAD/kg
2027-05-02,Pesticide,13.94,CAD/L
2027-05-02,Energy,0.11,CAD/kWh
2027-05-02,Water,0.0023,CAD/L
2027-05-09,Fertilizer,2.08,CAD/kg
2027-05-09,Pesticide,11.97,CAD/L
2027-05-09,Energy,0.12,CAD/kWh
2027-05-09,Water,0.0027,CAD/L
2027-05-16,Fertilizer,2.24,CAD/kg
2027-05-16,Pesticide,13.39,CAD/L
2027-05-16,Energy,0.21,CAD/kWh
2027-05-16,Water,0.0024,CAD/L
2027-05-23,Fertilizer,2.21,CAD/kg
2027-05-23,Pesticide,14.24,CAD/L
2027-05-23,Energy,0.15,CAD/kWh
2027-05-23,Water,0.0032,CAD/L
2027-05-30,Fertilizer,1.94,CAD/kg
2027-05-30,Pesticide,13.81,CAD/L
2027-05-30,Energy,0.19,CAD/kWh
2027-05-30,Water,0.0034,CAD/L
2027-06-06,Fertilizer,2.19,CAD/kg
2027-06-06,Pesticide,15.51,CAD/L
2027-06-06,Energy,0.2,CAD/kWh
2027-06-06,Water,0.004,CAD/L
2027-06-13,Fertilizer,2.31,CAD/kg
2027-06-13,Pesticide,16.0,CAD/L
2027-06-13,Energy,0.2,CAD/kWh
2027-06-13,Water,0.0024,CAD/L
2027-06-20,Fertilizer,2.06,CAD/kg
2027-06-20,Pesticide,15.46,CAD/L
2027-06-20,Energy,0.19,CAD/kWh
2027-06-20,Water,0.0029,CAD/L
2027-06-27,Fertilizer,1.9,CAD/kg
2027-06-27,Pesticide,15.26,CAD/L
2027-06-27,Energy,0.18,CAD/kWh
2027-06-27,Water,0.0023,CAD/L
2027-07-04,Fertilizer,2.0,CAD/kg
2027-07-04,Pesticide,12.72,CAD/L
2027-07-04,Energy,0.22,CAD/kWh
2027-07-04,Water,0.0029,CAD/L
2027-07-11,Fertilizer,1.91,CAD/kg
2027-07-11,Pesticide,13.84,CAD/L
2027-07-11,Energy,0.22,CAD/kWh
2027-07-11,Water,0.003,CAD/L
2027-07-18,Fertilizer,2.11,CAD/kg
2027-07-18,Pesticide,15.23,CAD/L
2027-07-18,Energy,0.18,CAD/kWh
2027-07-18,Water,0.0024,CAD/L
2027-07-25,Fertilizer,2.18,CAD/kg
2027-07-25,Pesticide,13.84,CAD/L
2027-07-25,Energy,0.17,CAD/kWh
2027-07-25,Water,0.0024,CAD/L
2027-08-01,Fertilizer,1.97,CAD/kg
2027-08-01,Pesticide,16.86,CAD/L
2027-08-01,Energy,0.2,CAD/kWh
2027-08-01,Water,0.0031,CAD/L
2027-08-08,Fertilizer,1.68,CAD/kg
2027-08-08,Pesticide,15.19,CAD/L
2027-08-08,Energy,0.23,CAD/kWh
2027-08-08,Water,0.0033,CAD/L
2027-08-15,Fertilizer,2.03,CAD/kg
2027-08-15,Pesticide,12.87,CAD/L
2027-08-15,Energy,0.12,CAD/kWh
2027-08-15,Water,0.0024,CAD/L
2027-08-22,Fertilizer,1.93,CAD/kg
2027-08-22,Pesticide,13.99,CAD/L
2027-08-22,Energy,0.2,CAD/kWh
2027-08-22,Water,0.0025,CAD/L
2027-08-29,Fertilizer,1.94,CAD/kg
2027-08-29,Pesticide,13.25,CAD/L
2027-08-29,Energy,0.2,CAD/kWh
2027-08-29,Water,0.0028,CAD/L
2027-09-05,Fertilizer,1.78,CAD/kg
2027-09-05,Pesticide,17.71,CAD/L
2027-09-05,Energy,0.19,CAD/kWh
2027-09-05,Water,0.0022,CAD/L
2027-09-12,Fertilizer,2.27,CAD/kg
2027-09-12,Pesticide,15.67,CAD/L
2027-09-12,Energy,0.16,CAD/kWh
2027-09-12,Water,0.0037,CAD/L
2027-09-19,Fertilizer,2.35,CAD/kg
2027-09-19,Pesticide,11.76,CAD/L
2027-09-19,Energy,0.19,CAD/kWh
2027-09-19,Water,0.003,CAD/L
2027-09-26,Fertilizer,1.99,CAD/kg
2027-09-26,Pesticide,12.71,CAD/L
2027-09-26,Energy,0.2,CAD/kWh
2027-09-26,Water,0.0027,CAD/L
2027-10-03,Fertilizer,2.43,CAD/kg
2027-10-03,Pesticide,16.63,CAD/L
2027-10-03,Energy,0.13,CAD/kWh
2027-10-03,Water,0.0024,CAD/L
2027-10-10,Fertilizer,2.08,CAD/kg
2027-10-10,Pesticide,14.54,CAD/L
2027-10-10,Energy,0.19,CAD/kWh
2027-10-10,Water,0.0032,CAD/L
2027-10-17,Fertilizer,2.08,CAD/kg
2027-10-17,Pesticide,16.33,CAD/L
2027-10-17,Energy,0.17,CAD/kWh
2027-10-17,Water,0.0029,CAD/L
2027-10-24,Fertilizer,2.04,CAD/kg
2027-10-24,Pesticide,16.06,CAD/L
2027-10-24,Energy,0.16,CAD/kWh
2027-10-24,Water,0.0019,CAD/L
2027-10-31,Fertilizer,1.92,CAD/kg
2027-10-31,Pesticide,13.1,CAD/L
2027-10-31,Energy,0.17,CAD/kWh
2027-10-31,Water,0.0033,CAD/L
2027-11-07,Fertilizer,1.84,CAD/kg
2027-11-07,Pesticide,14.23,CAD/L
2027-11-07,Energy,0.17,CAD/kWh
2027-11-07,Water,0.0025,CAD/L
2027-11-14,Fertilizer,2.11,CAD/kg
2027-11-14,Pesticide,14.83,CAD/L
2027-11-14,Energy,0.15,CAD/kWh
2027-11-14,Water,0.0031,CAD/L
2027-11-21,Fertilizer,2.05,CAD/kg
2027-11-21,Pesticide,13.68,CAD/L
2027-11-21,Energy,0.22,CAD/kWh
2027-11-21,Water,0.0023,CAD/L
2027-11-28,Fertilizer,2.16,CAD/kg
2027-11-28,Pesticide,13.56,CAD/L
2027-11-28,Energy,0.18,CAD/kWh
2027-11-28,Water,0.003,CAD/L
2027-12-05,Fertilizer,2.1,CAD/kg
2027-12-05,Pesticide,13.14,CAD/L
2027-12-05,Energy,0.19,CAD/kWh
2027-12-05,Water,0.0029,CAD/L
2027-12-12,Fertilizer,2.13,CAD/kg
2027-12-12,Pesticide,14.24,CAD/L
2027-12-12,Energy,0.16,CAD/kWh
2027-12-12,Water,0.0028,CAD/L
2027-12-19,Fertilizer,1.81,CAD/kg
2027-12-19,Pesticide,14.91,CAD/L
2027-12-19,Energy,0.21,CAD/kWh
2027-12-19,Water,0.0022,CAD/L
2027-12-26,Fertilizer,2.19,CAD/kg
2027-12-26,Pesticide,16.74,CAD/L
2027-12-26,Energy,0.17,CAD/kWh
2027-12-26,Water,0.0031,CAD/L
2028-01-02,Fertilizer,1.9,CAD/kg
2028-01-02,Pesticide,16.86,CAD/L
2028-01-02,Energy,0.22,CAD/kWh
2028-01-02,Water,0.0025,CAD/L
2028-01-09,Fertilizer,1.73,CAD/kg
2028-01-09,Pesticide,14.98,CAD/L
2028-01-09,Energy,0.16,CAD/kWh
2028-01-09,Water,0.0025,CAD/L
2028-01-16,Fertilizer,1.87,CAD/kg
2028-01-16,Pesticide,16.56,CAD/L
2028-01-16,Energy,0.16,CAD/kWh
2028-01-16,Water,0.0032,CAD/L
2028-01-23,Fertilizer,1.83,CAD/kg
2028-01-23,Pesticide,14.05,CAD/L
2028-01-23,Energy,0.21,CAD/kWh
2028-01-23,Water,0.0027,CAD/L
2028-01-30,Fertilizer,2.08,CAD/kg
2028-01-30,Pesticide,17.64,CAD/L
2028-01-30,Energy,0.19,CAD/kWh
2028-01-30,Water,0.0031,CAD/L
2028-02-06,Fertilizer,2.28,CAD/kg
2028-02-06,Pesticide,14.83,CAD/L
2028-02-06,Energy,0.21,CAD/kWh
2028-02-06,Water,0.0031,CAD/L
2028-02-13,Fertilizer,2.16,CAD/kg
2028-02-13,Pesticide,15.84,CAD/L
2028-02-13,Energy,0.15,CAD/kWh
