date,item,price,unit
2028-02-13,Water,0.0028,CAD/L
2028-02-20,Fertilizer,2.28,CAD/kg
2028-02-20,Pesticide,16.51,CAD/L
2028-02-20,Energy,0.14,CAD/kWh
2028-02-20,Water,0.0033,CAD/L
2028-02-27,Fertilizer,2.18,CAD/kg
2028-02-27,Pesticide,14.41,CAD/L
2028-02-27,Energy,0.19,CAD/kWh
2028-02-27,Water,0.0022,CAD/L
2028-03-05,Fertilizer,1.98,CAD/kg
2028-03-05,Pesticide,14.35,CAD/L
2028-03-05,Energy,0.17,CAD/kWh
2028-03-05,Water,0.0033,CAD/L
2028-03-12,Fertilizer,2.05,CAD/kg
2028-03-12,Pesticide,13.2,CAD/L
2028-03-12,Energy,0.19,CAD/kWh
2028-03-12,Water,0.0028,CAD/L
2028-03-19,Fertilizer,2.07,CAD/kg
2028-03-19,Pesticide,16.59,CAD/L
2028-03-19,Energy,0.19,CAD/kWh
2028-03-19,Water,0.0028,CAD/L
2028-03-26,Fertilizer,2.08,CAD/kg
2028-03-26,Pesticide,14.65,CAD/L
2028-03-26,Energy,0.22,CAD/kWh
2028-03-26,Water,0.0036,CAD/L
2028-04-02,Fertilizer,2.11,CAD/kg
2028-04-02,Pesticide,17.15,CAD/L
2028-04-02,Energy,0.17,CAD/kWh
2028-04-02,Water,0.0028,CAD/L
2028-04-09,Fertilizer,2.24,CAD/kg
2028-04-09,Pesticide,13.58,CAD/L
2028-04-09,Energy,0.18,CAD/kWh
2028-04-09,Water,0.0023,CAD/L
2028-04-16,Fertilizer,2.04,CAD/kg
2028-04-16,Pesticide,13.32,CAD/L
2028-04-16,Energy,0.19,CAD/kWh
2028-04-16,Water,0.0033,CAD/L
2028-04-23,Fertilizer,1.94,CAD/kg
2028-04-23,Pesticide,14.26,CAD/L
2028-04-23,Energy,0.24,CAD/kWh
2028-04-23,Water,0.0024,CAD/L
2028-04-30,Fertilizer,2.21,CAD/kg
2028-04-30,Pesticide,14.61,CAD/L
2028-04-30,Energy,0.18,CAD/kWh
2028-04-30,Water,0.0038,CAD/L
2028-05-07,Fertilizer,1.88,CAD/kg
2028-05-07,Pesticide,14.89,CAD/L
2028-05-07,Energy,0.22,CAD/kWh
2028-05-07,Water,0.0028,CAD/L
2028-05-14,Fertilizer,2.35,CAD/kg
2028-05-14,Pesticide,16.03,CAD/L
2028-05-14,Energy,0.18,CAD/kWh
2028-05-14,Water,0.0026,CAD/L
2028-05-21,Fertilizer,2.03,CAD/kg
2028-05-21,Pesticide,15.68,CAD/L
2028-05-21,Energy,0.21,CAD/kWh
2028-05-21,Water,0.0016,CAD/L
2028-05-28,Fertilizer,2.2,CAD/kg
2028-05-28,Pesticide,13.65,CAD/L
2028-05-28,Energy,0.18,CAD/kWh
2028-05-28,Water,0.0021,CAD/L
2028-06-04,Fertilizer,2.06,CAD/kg
2028-06-04,Pesticide,13.58,CAD/L
2028-06-04,Energy,0.21,CAD/kWh
2028-06-04,Water,0.0028,CAD/L
2028-06-11,Fertilizer,2.27,CAD/kg
2028-06-11,Pesticide,13.52,CAD/L
2028-06-11,Energy,0.21,CAD/kWh
2028-06-11,Water,0.0022,CAD/L
2028-06-18,Fertilizer,1.91,CAD/kg
2028-06-18,Pesticide,16.54,CAD/L
2028-06-18,Energy,0.22,CAD/kWh
2028-06-18,Water,0.0021,CAD/L
2028-06-25,Fertilizer,1.93,CAD/kg
2028-06-25,Pesticide,16.97,CAD/L
2028-06-25,Energy,0.21,CAD/kWh
2028-06-25,Water,0.0021,CAD/L
2028-07-02,Fertilizer,1.69,CAD/kg
2028-07-02,Pesticide,12.91,CAD/L
2028-07-02,Energy,0.2,CAD/kWh
2028-07-02,Water,0.0034,CAD/L
2028-07-09,Fertilizer,1.85,CAD/kg
2028-07-09,Pesticide,15.6,CAD/L
2028-07-09,Energy,0.22,CAD/kWh
2028-07-09,Water,0.0026,CAD/L
2028-07-16,Fertilizer,1.97,CAD/kg
2028-07-16,Pesticide,13.47,CAD/L
2028-07-16,Energy,0.17,CAD/kWh
2028-07-16,Water,0.0019,CAD/L
2028-07-23,Fertilizer,2.33,CAD/kg
2028-07-23,Pesticide,12.55,CAD/L
2028-07-23,Energy,0.18,CAD/kWh
2028-07-23,Water,0.0031,CAD/L
2028-07-30,Fertilizer,1.98,CAD/kg
2028-07-30,Pesticide,16.74,CAD/L
2028-07-30,Energy,0.16,CAD/kWh
2028-07-30,Water,0.0025,CAD/L
2028-08-06,Fertilizer,2.15,CAD/kg
2028-08-06,Pesticide,13.13,CAD/L
2028-08-06,Energy,0.16,CAD/kWh
2028-08-06,Water,0.0029,CAD/L
2028-08-13,Fertilizer,2.03,CAD/kg
2028-08-13,Pesticide,16.16,CAD/L
2028-08-13,Energy,0.2,CAD/kWh
2028-08-13,Water,0.0024,CAD/L
2028-08-20,Fertilizer,2.47,CAD/kg
2028-08-20,Pesticide,14.19,CAD/L
2028-08-20,Energy,0.17,CAD/kWh
2028-08-20,Water,0.0032,CAD/L
2028-08-27,Fertilizer,1.94,CAD/kg
2028-08-27,Pesticide,15.72,CAD/L
2028-08-27,Energy,0.21,CAD/kWh
2028-08-27,Water,0.0031,CAD/L
2028-09-03,Fertilizer,1.91,CAD/kg
2028-09-03,Pesticide,16.39,CAD/L
2028-09-03,Energy,0.18,CAD/kWh
2028-09-03,Water,0.0029,CAD/L
2028-09-10,Fertilizer,1.89,CAD/kg
2028-09-10,Pesticide,13.09,CAD/L
2028-09-10,Energy,0.2,CAD/kWh
2028-09-10,Water,0.0029,CAD/L
2028-09-17,Fertilizer,1.64,CAD/kg
2028-09-17,Pesticide,14.77,CAD/L
2028-09-17,Energy,0.17,CAD/kWh
2028-09-17,Water,0.0023,CAD/L
2028-09-24,Fertilizer,1.93,CAD/kg
2028-09-24,Pesticide,13.25,CAD/L
2028-09-24,Energy,0.17,CAD/kWh
2028-09-24,Water,0.0026,CAD/L
2028-10-01,Fertilizer,2.13,CAD/kg
2028-10-01,Pesticide,14.91,CAD/L
2028-10-01,Energy,0.17,CAD/kWh
2028-10-01,Water,0.0035,CAD/L
2028-10-08,Fertilizer,2.16,CAD/kg
2028-10-08,Pesticide,15.56,CAD/L
2028-10-08,Energy,0.17,CAD/kWh
2028-10-08,Water,0.0036,CAD/L
2028-10-15,Fertilizer,1.96,CAD/kg
2028-10-15,Pesticide,15.99,CAD/L
2028-10-15,Energy,0.19,CAD/kWh
2028-10-15,Water,0.0027,CAD/L
2028-10-22,Fertilizer,2.37,CAD/kg
2028-10-22,Pesticide,13.73,CAD/L
2028-10-22,Energy,0.2,CAD/kWh
2028-10-22,Water,0.0032,CAD/L
2028-10-29,Fertilizer,1.95,CAD/kg
2028-10-29,Pesticide,13.53,CAD/L
2028-10-29,Energy,0.13,CAD/kWh
2028-10-29,Water,0.003,CAD/L
2028-11-05,Fertilizer,2.42,CAD/kg
2028-11-05,Pesticide,14.8,CAD/L
2028-11-05,Energy,0.16,CAD/kWh
2028-11-05,Water,0.0037,CAD/L
2028-11-12,Fertilizer,2.06,CAD/kg
2028-11-12,Pesticide,15.01,CAD/L
2028-11-12,Energy,0.13,CAD/kWh
2028-11-12,Water,0.0028,CAD/L
2028-11-19,Fertilizer,2.02,CAD/kg
2028-11-19,Pesticide,15.08,CAD/L
2028-11-19,Energy,0.15,CAD/kWh
2028-11-19,Water,0.0031,CAD/L
2028-11-26,Fertilizer,1.9,CAD/kg
2028-11-26,Pesticide,15.35,CAD/L
2028-11-26,Energy,0.17,CAD/kWh
2028-11-26,Water,0.0023,CAD/L
2028-12-03,Fertilizer,1.6,CAD/kg
2028-12-03,Pesticide,15.31,CAD/L
2028-12-03,Energy,0.13,CAD/kWh
2028-12-03,Water,0.0021,CAD/L
2028-12-10,Fertilizer,1.97,CAD/kg
2028-12-10,Pesticide,15.33,CAD/L
2028-12-10,Energy,0.18,CAD/kWh
2028-12-10,Water,0.0028,CAD/L
2028-12-17,Fertilizer,2.19,CAD/kg
2028-12-17,Pesticide,12.72,CAD/L
2028-12-17,Energy,0.12,CAD/kWh
2028-12-17,Water,0.0026,CAD/L
2028-12-24,Fertilizer,2.15,CAD/kg
2028-12-24,Pesticide,13.94,CAD/L
2028-12-24,Energy,0.2,CAD/kWh
2028-12-24,Water,0.0029,CAD/L
2028-12-31,Fertilizer,2.17,CAD/kg
2028-12-31,Pesticide,16.48,CAD/L
2028-12-31,Energy,0.15,CAD/kWh
2028-12-31,Water,0.0025,CAD/L
2029-01-07,Fertilizer,1.79,CAD/kg
2029-01-07,Pesticide,14.83,CAD/L
2029-01-07,Energy,0.15,CAD/kWh
2029-01-07,Water,0.0033,CAD/L
2029-01-14,Fertilizer,2.19,CAD/kg
2029-01-14,Pesticide,12.05,CAD/L
2029-01-14,Energy,0.21,CAD/kWh
2029-01-14,Water,0.0028,CAD/L
2029-01-21,Fertilizer,1.93,CAD/kg
2029-01-21,Pesticide,16.63,CAD/L
2029-01-21,Energy,0.2,CAD/kWh
2029-01-21,Water,0.0034,CAD/L
2029-01-28,Fertilizer,1.6,CAD/kg
2029-01-28,Pesticide,14.25,CAD/L
2029-01-28,Energy,0.17,CAD/kWh
2029-01-28,Water,0.0031,CAD/L
2029-02-04,Fertilizer,1.66,CAD/kg
2029-02-04,Pesticide,12.81,CAD/L
2029-02-04,Energy,0.26,CAD/kWh
2029-02-04,Water,0.0028,CAD/L
2029-02-11,Fertilizer,2.38,CAD/kg
2029-02-11,Pesticide,14.25,CAD/L
2029-02-11,Energy,0.16,CAD/kWh
2029-02-11,Water,0.0043,CAD/L
2029-02-18,Fertilizer,1.88,CAD/kg
2029-02-18,Pesticide,11.97,CAD/L
2029-02-18,Energy,0.19,CAD/kWh
2029-02-18,Water,0.0034,CAD/L
2029-02-25,Fertilizer,2.29,CAD/kg
2029-02-25,Pesticide,14.42,CAD/L
2029-02-25,Energy,0.19,CAD/kWh
2029-02-25,Water,0.0029,CAD/L
2029-03-04,Fertilizer,2.16,CAD/kg
2029-03-04,Pesticide,14.79,CAD/L
2029-03-04,Energy,0.19,CAD/kWh
2029-03-04,Water,0.0032,CAD/L
2029-03-11,Fertilizer,2.12,CAD/kg
2029-03-11,Pesticide,14.34,CAD/L
2029-03-11,Energy,0.17,CAD/kWh
2029-03-11,Water,0.0019,CAD/L
2029-03-18,Fertilizer,1.88,CAD/kg
2029-03-18,Pesticide,14.09,CAD/L
2029-03-18,Energy,0.18,CAD/kWh
2029-03-18,Water,0.0028,CAD/L
2029-03-25,Fertilizer,2.03,CAD/kg
2029-03-25,Pesticide,14.66,CAD/L
2029-03-25,Energy,0.19,CAD/kWh
2029-03-25,Water,0.0027,CAD/L
2029-04-01,Fertilizer,2.26,CAD/kg
2029-04-01,Pesticide,12.84,CAD/L
2029-04-01,Energy,0.2,CAD/kWh
2029-04-01,Water,0.002,CAD/L
2029-04-08,Fertilizer,2.02,CAD/kg
2029-04-08,Pesticide,14.67,CAD/L
2029-04-08,Energy,0.18,CAD/kWh
2029-04-08,Water,0.0029,CAD/L
2029-04-15,Fertilizer,2.4,CAD/kg
2029-04-15,Pesticide,16.04,CAD/L
2029-04-15,Energy,0.24,CAD/kWh
2029-04-15,Water,0.0031,CAD/L
2029-04-22,Fertilizer,1.85,CAD/kg
2029-04-22,Pesticide,14.54,CAD/L
2029-04-22,Energy,0.19,CAD/kWh
2029-04-22,Water,0.003,CAD/L
2029-04-29,Fertilizer,1.89,CAD/kg
2029-04-29,Pesticide,12.06,CAD/L
2029-04-29,Energy,0.18,CAD/kWh
2029-04-29,Water,0.0023,CAD/L
2029-05-06,Fertilizer,2.31,CAD/kg
2029-05-06,Pesticide,15.18,CAD/L
2029-05-06,Energy,0.18,CAD/kWh
2029-05-06,Water,0.003,CAD/L
2029-05-13,Fertilizer,2.16,CAD/kg
2029-05-13,Pesticide,13.99,CAD/L
2029-05-13,Energy,0.13,CAD/kWh
2029-05-13,Water,0.0034,CAD/L
2029-05-20,Fertilizer,1.84,CAD/kg
2029-05-20,Pesticide,14.27,CAD/L
2029-05-20,Energy,0.21,CAD/kWh
2029-05-20,Water,0.0035,CAD/L
2029-05-27,Fertilizer,2.05,CAD/kg
2029-05-27,Pesticide,15.37,CAD/L
2029-05-27,Energy,0.15,CAD/kWh
2029-05-27,Water,0.0027,CAD/L
2029-06-03,Fertilizer,2.16,CAD/kg
2029-06-03,Pesticide,13.75,CAD/L
2029-06-03,Energy,0.17,CAD/kWh
2029-06-03,Water,0.0035,CAD/L
2029-06-10,Fertilizer,1.96,CAD/kg
2029-06-10,Pesticide,16.31,CAD/L
2029-06-10,Energy,0.19,CAD/kWh
2029-06-10,Water,0.003,CAD/L
2029-06-17,Fertilizer,2.19,CAD/kg
2029-06-17,Pesticide,14.03,CAD/L
2029-06-17,Energy,0.17,CAD/kWh
2029-06-17,Water,0.0031,CAD/L
2029-06-24,Fertilizer,2.22,CAD/kg
2029-06-24,Pesticide,13.36,CAD/L
2029-06-24,Energy,0.19,CAD/kWh
2029-06-24,Water,0.0028,CAD/L
2029-07-01,Fertilizer,1.91,CAD/kg
2029-07-01,Pesticide,14.26,CAD/L
2029-07-01,Energy,0.17,CAD/kWh
2029-07-01,Water,0.0026,CAD/L
2029-07-08,Fertilizer,2.27,CAD/kg
2029-07-08,Pesticide,14.6,CAD/L
2029-07-08,Energy,0.16,CAD/kWh
2029-07-08,Water,0.0033,CAD/L
2029-07-15,Fertilizer,2.15,CAD/kg
2029-07-15,Pesticide,13.39,CAD/L
2029-07-15,Energy,0.21,CAD/kWh
2029-07-15,Water,0.0034,CAD/L
2029-07-22,Fertilizer,2.27,CAD/kg
2029-07-22,Pesticide,13.58,CAD/L
2029-07-22,Energy,0.15,CAD/kWh
2029-07-22,Water,0.003,CAD/L
2029-07-29,Fertilizer,1.88,CAD/kg
2029-07-29,Pesticide,14.53,CAD/L
2029-07-29,Energy,0.15,CAD/kWh
2029-07-29,Water,0.0026,CAD/L
2029-08-05,Fertilizer,2.4,CAD/kg
2029-08-05,Pesticide,13.77,CAD/L
2029-08-05,Energy,0.19,CAD/kWh
2029-08-05,Water,0.0026,CAD/L
2029-08-12,Fertilizer,2.08,CAD/kg
2029-08-12,Pesticide,14.54,CAD/L
2029-08-12,Energy,0.19,CAD/kWh
2029-08-12,Water,0.0036,CAD/L
2029-08-19,Fertilizer,2.22,CAD/kg
2029-08-19,Pesticide,13.9,CAD/L
2029-08-19,Energy,0.18,CAD/kWh
2029-08-19,Water,0.0034,CAD/L
2029-08-26,Fertilizer,1.96,CAD/kg
2029-08-26,Pesticide,15.59,CAD/L
2029-08-26,Energy,0.14,CAD/kWh
2029-08-26,Water,0.0031,CAD/L
2029-09-02,Fertilizer,2.06,CAD/kg
2029-09-02,Pesticide,11.07,CAD/L
2029-09-02,Energy,0.18,CAD/kWh
2029-09-02,Water,0.003,CAD/L
2029-09-09,Fertilizer,1.97,CAD/kg
2029-09-09,Pesticide,16.78,CAD/L
2029-09-09,Energy,0.21,CAD/kWh
2029-09-09,Water,0.0035,CAD/L
2029-09-16,Fertilizer,2.35,CAD/kg
2029-09-16,Pesticide,13.69,CAD/L
2029-09-16,Energy,0.19,CAD/kWh
2029-09-16,Water,0.0038,CAD/L
2029-09-23,Fertilizer,2.06,CAD/kg
2029-09-23,Pesticide,15.56,CAD/L
2029-09-23,Energy,0.25,CAD/kWh
2029-09-23,Water,0.0022,CAD/L
2029-09-30,Fertilizer,2.16,CAD/kg
2029-09-30,Pesticide,17.98,CAD/L
2029-09-30,Energy,0.19,CAD/kWh
2029-09-30,Water,0.0025,CAD/L
2029-10-07,Fertilizer,2.14,CAD/kg
2029-10-07,Pesticide,13.03,CAD/L
2029-10-07,Energy,0.17,CAD/kWh
2029-10-07,Water,0.0035,CAD/L
2029-10-14,Fertilizer,1.89,CAD/kg
2029-10-14,Pesticide,14.44,CAD/L
2029-10-14,Energy,0.2,CAD/kWh
2029-10-14,Water,0.0037,CAD/L
2029-10-21,Fertilizer,2.08,CAD/kg
2029-10-21,Pesticide,15.56,CAD/L
2029-10-21,Energy,0.2,CAD/kWh
2029-10-21,Water,0.0035,CAD/L
2029-10-28,Fertilizer,1.81,CAD/kg
2029-10-28,Pesticide,13.69,CAD/L
2029-10-28,Energy,0.18,CAD/kWh
2029-10-28,Water,0.0038,CAD/L
2029-11-04,Fertilizer,1.92,CAD/kg
2029-11-04,Pesticide,11.99,CAD/L
2029-11-04,Energy,0.2,CAD/kWh
2029-11-04,Water,0.0021,CAD/L
2029-11-11,Fertilizer,2.02,CAD/kg
2029-11-11,Pesticide,17.31,CAD/L
2029-11-11,Energy,0.15,CAD/kWh
2029-11-11,Water,0.0028,CAD/L
2029-11-18,Fertilizer,2.25,CAD/kg
2029-11-18,Pesticide,15.65,CAD/L
2029-11-18,Energy,0.19,CAD/kWh
2029-11-18,Water,0.0039,CAD/L
2029-11-25,Fertilizer,2.02,CAD/kg
2029-11-25,Pesticide,12.47,CAD/L
2029-11-25,Energy,0.18,CAD/kWh
2029-11-25,Water,0.0028,CAD/L
2029-12-02,Fertilizer,1.72,CAD/kg
2029-12-02,Pesticide,13.56,CAD/L
2029-12-02,Energy,0.18,CAD/kWh
2029-12-02,Water,0.0024,CAD/L
2029-12-09,Fertilizer,2.17,CAD/kg
2029-12-09,Pesticide,13.71,CAD/L
2029-12-09,Energy,0.16,CAD/kWh
2029-12-09,Water,0.0021,CAD/L
2029-12-16,Fertilizer,2.19,CAD/kg
2029-12-16,Pesticide,16.31,CAD/L
2029-12-16,Energy,0.18,CAD/kWh
2029-12-16,Water,0.003,CAD/L
2029-12-23,Fertilizer,1.88,CAD/kg
2029-12-23,Pesticide,16.26,CAD/L
2029-12-23,Energy,0.18,CAD/kWh
2029-12-23,Water,0.0028,CAD/L
2029-12-30,Fertilizer,2.16,CAD/kg
2029-12-30,Pesticide,12.5,CAD/L
2029-12-30,Energy,0.16,CAD/kWh
2029-12-30,Water,0.0036,CAD/L
2030-01-06,Fertilizer,2.28,CAD/kg
2030-01-06,Pesticide,14.27,CAD/L
2030-01-06,Energy,0.2,CAD/kWh
2030-01-06,Water,0.0024,CAD/L
2030-01-13,Fertilizer,2.03,CAD/kg
2030-01-13,Pesticide,14.52,CAD/L
2030-01-13,Energy,0.21,CAD/kWh
2030-01-13,Water,0.0029,CAD/L
2030-01-20,Fertilizer,1.89,CAD/kg
2030-01-20,Pesticide,12.69,CAD/L
2030-01-20,Energy,0.23,CAD/kWh
2030-01-20,Water,0.0036,CAD/L
2030-01-27,Fertilizer,1.94,CAD/kg
2030-01-27,Pesticide,15.48,CAD/L
2030-01-27,Energy,0.2,CAD/kWh
2030-01-27,Water,0.003,CAD/L
2030-02-03,Fertilizer,2.25,CAD/kg
2030-02-03,Pesticide,13.59,CAD/L
2030-02-03,Energy,0.16,CAD/kWh
2030-02-03,Water,0.0024,CAD/L
2030-02-10,Fertilizer,2.0,CAD/kg
2030-02-10,Pesticide,12.6,CAD/L
2030-02-10,Energy,0.18,CAD/kWh
2030-02-10,Water,0.0028,CAD/L
2030-02-17,Fertilizer,1.91,CAD/kg
2030-02-17,Pesticide,13.87,CAD/L
2030-02-17,Energy,0.19,CAD/kWh
2030-02-17,Water,0.002,CAD/L
